REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018/2019,"Collège de l'Île, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439410064,8.1.1.1.1.2.3.1,6,,,,0
2019/2020,"Collège de l'Île, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439410064,8.1.1.1.1.2.3.1,6,,,,0
2020/2021,"Collège de l'Île, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439410064,8.1.1.1.1.2.3.1,12,,,,0
2021/2022,"Collège de l'Île, Prince Edward Island",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439410064,8.1.1.1.1.2.3.1,24,,,,0
2011/2012,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,5007,,,,0
2012/2013,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,5670,,,,0
2013/2014,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,6039,,,,0
2014/2015,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,6471,,,,0
2015/2016,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,6813,,,,0
2016/2017,Nova Scotia,2021A000212,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439412349,9.1.1.1.1.2.3.1,7365,,,,0
