"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","3699","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","3318","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","4725","","","","0"
"2009/2010","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","1038","","","","0"
"2010/2011","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","1230","","","","0"
"2011/2012","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","1341","","","","0"
"2012/2013","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","1650","","","","0"
"2013/2014","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","1725","","","","0"
"2014/2015","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","2019","","","","0"
"2015/2016","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","2148","","","","0"
"2016/2017","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","2385","","","","0"
"2017/2018","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","2679","","","","0"
"2018/2019","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","2970","","","","0"
"2019/2020","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","3420","","","","0"
"2020/2021","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","3306","","","","0"
"2021/2022","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","3015","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608777071","3.1.1.1.1.2.3.1","4425","","","","0"
"2009/2010","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","42","","","","0"
"2010/2011","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","51","","","","0"
"2011/2012","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","48","","","","0"
"2012/2013","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","66","","","","0"
"2013/2014","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","60","","","","0"
"2014/2015","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","45","","","","0"
"2015/2016","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","51","","","","0"
"2016/2017","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","63","","","","0"
"2017/2018","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","57","","","","0"
"2018/2019","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","87","","","","0"
"2019/2020","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","309","","","","0"
"2020/2021","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","393","","","","0"
"2021/2022","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","300","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","300","","","","0"
"2009/2010","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","333","","","","0"
"2010/2011","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","417","","","","0"
"2011/2012","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","480","","","","0"
"2012/2013","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","486","","","","0"
"2013/2014","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","516","","","","0"
"2014/2015","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","618","","","","0"
"2015/2016","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","744","","","","0"
"2016/2017","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","921","","","","0"
"2017/2018","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","1224","","","","0"
"2018/2019","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","1440","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","1902","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","1935","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","1929","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","2121","","","","0"
"2009/2010","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","306","","","","0"
"2010/2011","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","384","","","","0"
"2011/2012","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","420","","","","0"
"2012/2013","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","438","","","","0"
"2013/2014","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","483","","","","0"
"2014/2015","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","534","","","","0"
"2015/2016","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","642","","","","0"
"2016/2017","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","753","","","","0"
"2017/2018","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","873","","","","0"
"2018/2019","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","1011","","","","0"
"2019/2020","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","1236","","","","0"
"2020/2021","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","1305","","","","0"
"2021/2022","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","1458","","","","0"
"2022/2023","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608933027","6.1.1.1.1.2.3.1","1593","","","","0"
"2009/2010","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","27","","","","0"
"2010/2011","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","33","","","","0"
"2011/2012","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","60","","","","0"
"2012/2013","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","51","","","","0"
"2013/2014","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","33","","","","0"
"2014/2015","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","87","","","","0"
"2015/2016","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","102","","","","0"
"2016/2017","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","168","","","","0"
"2017/2018","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","348","","","","0"
"2018/2019","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","423","","","","0"
"2019/2020","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","660","","","","0"
"2020/2021","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608970921","7.1.1.1.1.2.3.1","618","","","","0"
