REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017/2018,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,57,,,,0
2018/2019,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,39,,,,0
2019/2020,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,30,,,,0
2020/2021,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,21,,,,0
2021/2022,"École de sténographie judiciaire du Québec, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409281,121.1.1.1.1.2.2.1,27,,,,0
2011/2012,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1641,,,,0
2012/2013,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1683,,,,0
2013/2014,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1683,,,,0
2014/2015,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1677,,,,0
2015/2016,"CÉGEP régional de Lanaudière à Terrebonne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441409762,122.1.1.1.1.2.2.1,1740,,,,0
