"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (second cycle)","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778587","3.1.13.1.1.2.3.1","1401","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (second cycle)","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778663","3.1.13.4.1.2.2.1","18","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (second cycle)","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778667","3.1.13.4.1.2.3.1","102","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (second cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778729","3.1.13.5.1.2.2.1","732","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (second cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778733","3.1.13.5.1.2.3.1","1299","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (third cycle)","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778813","3.1.14.1.1.2.2.1","576","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (third cycle)","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778817","3.1.14.1.1.2.3.1","429","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (third cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608778923","3.1.14.5.1.2.2.1","576","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Graduate program (third cycle)","Degree (includes applied degree)","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608778927","3.1.14.5.1.2.3.1","429","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","3771","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839700","4.1.1.1.1.2.3.1","300","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839762","4.1.1.3.1.2.2.1","1104","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Certificate","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839766","4.1.1.3.1.2.3.1","33","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839828","4.1.1.4.1.2.2.1","2520","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608839832","4.1.1.4.1.2.3.1","270","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Other type of credential associated with a program","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839888","4.1.1.8.1.2.2.1","48","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Not applicable, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839930","4.1.1.9.1.2.2.1","105","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608840278","4.1.4.1.1.2.2.1","3390","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608840282","4.1.4.1.1.2.3.1","288","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608840344","4.1.4.3.1.2.2.1","897","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Certificate","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608840348","4.1.4.3.1.2.3.1","27","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608840410","4.1.4.4.1.2.2.1","2430","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608840414","4.1.4.4.1.2.3.1","264","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Other type of credential associated with a program","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608840470","4.1.4.8.1.2.2.1","48","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Career, technical or professional training program","Not applicable, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608840512","4.1.4.9.1.2.2.1","15","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Post career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608840574","4.1.5.1.1.2.2.1","90","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Post career, technical or professional training program","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608840578","4.1.5.1.1.2.3.1","3","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Post career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608840658","4.1.5.4.1.2.2.1","90","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Post career, technical or professional training program","Diploma","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608840662","4.1.5.4.1.2.3.1","3","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","4992","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869411","5.1.1.1.1.2.3.1","2121","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Certificate","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869515","5.1.1.3.1.2.2.1","483","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Certificate","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608869519","5.1.1.3.1.2.3.1","72","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Diploma","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869616","5.1.1.4.1.2.2.1","1107","","","","0"
