"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16035","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16074","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16434","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","16149","","","","0"
"2023/2024","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608688340","2.1.1.1.1.2.2.1","14931","","","","0"
"2009/2010","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","1080","","","","0"
"2010/2011","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","1281","","","","0"
"2011/2012","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","1389","","","","0"
"2012/2013","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","1716","","","","0"
"2013/2014","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","1785","","","","0"
"2014/2015","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","2061","","","","0"
"2015/2016","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","2199","","","","0"
"2016/2017","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","2448","","","","0"
"2017/2018","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","2736","","","","0"
"2018/2019","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","3060","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","3729","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","3699","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","3318","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","4788","","","","0"
"2023/2024","Newfoundland and Labrador","2021A000210","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1608688344","2.1.1.1.1.2.3.1","5850","","","","0"
"2009/2010","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15339","","","","0"
"2010/2011","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15426","","","","0"
"2011/2012","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15438","","","","0"
"2012/2013","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15570","","","","0"
"2013/2014","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15339","","","","0"
"2014/2015","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15015","","","","0"
"2015/2016","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","14943","","","","0"
"2016/2017","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15069","","","","0"
"2017/2018","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15123","","","","0"
"2018/2019","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15129","","","","0"
"2019/2020","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15486","","","","0"
"2020/2021","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15576","","","","0"
"2021/2022","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15786","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","15942","","","","0"
"2023/2024","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Total, status of student in Canada","Total, gender","Number","223","units","0","v1608777063","3.1.1.1.1.2.1.1","16431","","","","0"
"2009/2010","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","14298","","","","0"
"2010/2011","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","14196","","","","0"
"2011/2012","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","14097","","","","0"
"2012/2013","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","13923","","","","0"
"2013/2014","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","13611","","","","0"
"2014/2015","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12996","","","","0"
"2015/2016","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12795","","","","0"
"2016/2017","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12678","","","","0"
"2017/2018","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12444","","","","0"
"2018/2019","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12162","","","","0"
"2019/2020","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12066","","","","0"
"2020/2021","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12267","","","","0"
"2021/2022","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12747","","","","0"
