"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12162","","","","0"
"2019/2020","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12066","","","","0"
"2020/2021","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12267","","","","0"
"2021/2022","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","12747","","","","0"
"2022/2023","Memorial University of Newfoundland, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608777067","3.1.1.1.1.2.2.1","11517","","","","0"
"2009/2010","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","5730","","","","0"
"2010/2011","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","6228","","","","0"
"2011/2012","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","5646","","","","0"
"2012/2013","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","5394","","","","0"
"2013/2014","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","5028","","","","0"
"2014/2015","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","5355","","","","0"
"2015/2016","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","5496","","","","0"
"2016/2017","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","5304","","","","0"
"2017/2018","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","4323","","","","0"
"2018/2019","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","4410","","","","0"
"2019/2020","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","3966","","","","0"
"2020/2021","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","3804","","","","0"
"2021/2022","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","3687","","","","0"
"2022/2023","College of the North Atlantic, Newfoundland and Labrador","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608839696","4.1.1.1.1.2.2.1","3771","","","","0"
"2009/2010","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","4755","","","","0"
"2010/2011","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","4920","","","","0"
"2011/2012","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","5262","","","","0"
"2012/2013","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","5211","","","","0"
"2013/2014","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","4788","","","","0"
"2014/2015","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","5049","","","","0"
"2015/2016","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","4992","","","","0"
"2016/2017","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","4746","","","","0"
"2017/2018","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","5601","","","","0"
"2018/2019","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","5049","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608869407","5.1.1.1.1.2.2.1","4752","","","","0"
