School or Partnership Name*,Province,Total 2018-2023,2018,2019,2020,2021,2022,2023,Increase (2018-2023),Public College-Private Partnership**
Nova Scotia Community College,NS,2237,304,284,125,446,545,533,229,
Coast Mountain College,BC,1346,187,161,59,233,299,407,220,
Douglas College,BC,8865,1451,1354,624,1803,1966,1667,216,
Greystone College of Business and Technology - Toronto,ON,1983,339,299,84,285,434,542,203,
Acsenda School of Management,BC,3269,566,724,213,405,594,767,201,
Open Study Permit,NA,1306,155,267,113,210,207,354,199,
Justice Institute of British Columbia,BC,546,7,28,14,109,184,204,197,
Columbia College - Vancouver,BC,5910,960,1038,315,1159,1277,1161,201,
University of Northern British Columbia,BC,1171,131,156,67,202,292,323,192,
Collège LaSalle,QC,4854,1174,874,194,492,757,1363,189,
Collège TAV,QC,888,53,111,67,120,297,240,187,
Cégep de Jonquière,QC,976,117,144,94,178,141,302,185,
Brandon University,MB,1047,154,117,69,139,236,332,178,
Northern Lights College,BC,1716,258,215,111,361,339,432,174,
Tamwood Careers - ON,ON,652,31,66,44,128,179,204,173,
Université Sainte-Anne,NS,793,107,151,28,108,120,279,172,
Cégep Limoilou,QC,691,71,79,64,110,134,233,162,
OCAD University,ON,1401,130,209,119,337,319,287,157,
Holland College,PEI,1654,239,304,125,302,291,393,154,
Université de Hearst,ON,594,38,88,31,109,136,192,154,
Carleton University,ON,6818,1071,1189,497,1421,1416,1224,153,
Centre de formation professionnelle Léonard-De Vinci,QC,594,31,83,67,121,116,176,145,
Ontario Tech University (formerly University of Ontario Institute of Technology),ON,1903,247,246,107,484,429,390,143,
Collège Greystone,QC,1131,4,72,32,232,646,145,141,
École supérieure internationale de Montréal,QC,499,0,1,19,161,178,140,140,
Western University,ON,8335,1366,1426,602,1828,1608,1505,139,
Bishop’s University,QC,1466,170,252,94,355,291,304,134,
Saint Mary’s University,NS,3735,663,570,237,739,734,792,129,
North Island College,BC,1309,233,186,41,184,309,356,123,
Acadia University,NS,1263,201,184,92,214,256,316,115,
Selkirk College,BC,2067,366,348,158,334,384,477,111,
Cégep Marie-Victorin,QC,822,58,107,126,174,199,158,100,
Mount Royal University,AB,754,104,100,60,148,140,202,98,
Medicine Hat College,AB,772,127,123,23,128,153,218,91,
Mount Allison University,NB,745,111,119,47,130,143,195,84,
University of British Columbia (UBC),BC,29937,4844,4905,2831,7189,5243,4925,81,
Vanier College,QC,582,55,145,41,105,103,133,78,
Wilfrid Laurier University,ON,2080,376,337,136,449,329,453,77,
Canadian College of English Language,BC,826,111,110,47,184,188,186,75,
Cégep de St-Félicien,QC,886,114,137,120,160,171,184,70,
Centre de formation professionnelle de Verdun,QC,533,64,48,58,121,111,131,67,
Concordia University of Edmonton,AB,1397,221,425,59,205,203,284,63,
Emily Carr University of Art and Design,BC,857,94,124,91,207,189,152,58,
Institut national de la recherche scientifique,QC,734,101,120,88,157,129,139,38,
Thompson Rivers University,BC,9273,1615,1367,510,1874,2255,1652,37,
College of the Rockies,BC,837,150,181,62,109,148,187,37,
VanWest College (Vancouver),BC,2053,350,251,198,408,467,379,29,
Royal Roads University,BC,1961,369,316,180,424,276,396,27,
St. Francis Xavier University,NS,822,129,189,59,174,115,156,27,
Collège St-Michel,QC,739,85,108,55,259,127,105,20,
Simon Fraser University (SFU),BC,5960,963,936,492,1455,1134,980,17,
